,Library_Occupancy,Students_Traveling,Students_In_Library,Students_In_Lecture,Students_Off_Campus
51,"{'Arts and Social Sciences': 714, 'Chemistry': 83, 'Education': 0, 'Medical': 105, 'Physics': 82, ""Queen's Building"": 168, 'Wills Memorial': 517, 'Beacon House': 430, 'Brambles and Hawthorns': 0, 'Grace Reeves': 0, 'Senate House': 636}",77,2735,0,1188
52,"{'Arts and Social Sciences': 605, 'Chemistry': 70, 'Education': 0, 'Medical': 92, 'Physics': 72, ""Queen's Building"": 151, 'Wills Memorial': 434, 'Beacon House': 381, 'Brambles and Hawthorns': 32, 'Grace Reeves': 33, 'Senate House': 554}",183,2424,341,1052
53,"{'Arts and Social Sciences': 607, 'Chemistry': 70, 'Education': 0, 'Medical': 92, 'Physics': 72, ""Queen's Building"": 151, 'Wills Memorial': 435, 'Beacon House': 381, 'Brambles and Hawthorns': 33, 'Grace Reeves': 33, 'Senate House': 554}",0,2428,520,1052
54,"{'Arts and Social Sciences': 607, 'Chemistry': 70, 'Education': 0, 'Medical': 92, 'Physics': 72, ""Queen's Building"": 151, 'Wills Memorial': 435, 'Beacon House': 381, 'Brambles and Hawthorns': 33, 'Grace Reeves': 33, 'Senate House': 554}",0,2428,520,1052
55,"{'Arts and Social Sciences': 607, 'Chemistry': 70, 'Education': 0, 'Medical': 92, 'Physics': 72, ""Queen's Building"": 151, 'Wills Memorial': 435, 'Beacon House': 381, 'Brambles and Hawthorns': 33, 'Grace Reeves': 33, 'Senate House': 554}",0,2428,520,1052
56,"{'Arts and Social Sciences': 591, 'Chemistry': 73, 'Education': 0, 'Medical': 87, 'Physics': 65, ""Queen's Building"": 152, 'Wills Memorial': 441, 'Beacon House': 379, 'Brambles and Hawthorns': 31, 'Grace Reeves': 31, 'Senate House': 507}",234,2357,474,935
57,"{'Arts and Social Sciences': 592, 'Chemistry': 73, 'Education': 0, 'Medical': 87, 'Physics': 65, ""Queen's Building"": 152, 'Wills Memorial': 442, 'Beacon House': 379, 'Brambles and Hawthorns': 31, 'Grace Reeves': 31, 'Senate House': 511}",0,2363,635,1002
58,"{'Arts and Social Sciences': 592, 'Chemistry': 73, 'Education': 0, 'Medical': 87, 'Physics': 65, ""Queen's Building"": 152, 'Wills Memorial': 442, 'Beacon House': 379, 'Brambles and Hawthorns': 31, 'Grace Reeves': 31, 'Senate House': 511}",0,2363,635,1002
59,"{'Arts and Social Sciences': 592, 'Chemistry': 73, 'Education': 0, 'Medical': 87, 'Physics': 65, ""Queen's Building"": 152, 'Wills Memorial': 442, 'Beacon House': 379, 'Brambles and Hawthorns': 31, 'Grace Reeves': 31, 'Senate House': 511}",0,2363,635,1002
60,"{'Arts and Social Sciences': 582, 'Chemistry': 78, 'Education': 0, 'Medical': 88, 'Physics': 68, ""Queen's Building"": 152, 'Wills Memorial': 448, 'Beacon House': 369, 'Brambles and Hawthorns': 28, 'Grace Reeves': 28, 'Senate House': 482}",353,2323,474,850
61,"{'Arts and Social Sciences': 582, 'Chemistry': 79, 'Education': 0, 'Medical': 88, 'Physics': 68, ""Queen's Building"": 152, 'Wills Memorial': 448, 'Beacon House': 369, 'Brambles and Hawthorns': 28, 'Grace Reeves': 28, 'Senate House': 515}",0,2357,666,977
62,"{'Arts and Social Sciences': 582, 'Chemistry': 79, 'Education': 0, 'Medical': 88, 'Physics': 68, ""Queen's Building"": 152, 'Wills Memorial': 448, 'Beacon House': 369, 'Brambles and Hawthorns': 28, 'Grace Reeves': 28, 'Senate House': 515}",0,2357,666,977
63,"{'Arts and Social Sciences': 582, 'Chemistry': 79, 'Education': 0, 'Medical': 88, 'Physics': 68, ""Queen's Building"": 152, 'Wills Memorial': 448, 'Beacon House': 369, 'Brambles and Hawthorns': 28, 'Grace Reeves': 28, 'Senate House': 515}",0,2357,666,977
64,"{'Arts and Social Sciences': 558, 'Chemistry': 75, 'Education': 0, 'Medical': 81, 'Physics': 67, ""Queen's Building"": 153, 'Wills Memorial': 449, 'Beacon House': 378, 'Brambles and Hawthorns': 25, 'Grace Reeves': 25, 'Senate House': 471}",382,2282,479,857
65,"{'Arts and Social Sciences': 558, 'Chemistry': 75, 'Education': 0, 'Medical': 81, 'Physics': 67, ""Queen's Building"": 153, 'Wills Memorial': 449, 'Beacon House': 378, 'Brambles and Hawthorns': 25, 'Grace Reeves': 25, 'Senate House': 506}",0,2317,640,1043
66,"{'Arts and Social Sciences': 558, 'Chemistry': 75, 'Education': 0, 'Medical': 81, 'Physics': 67, ""Queen's Building"": 153, 'Wills Memorial': 449, 'Beacon House': 378, 'Brambles and Hawthorns': 25, 'Grace Reeves': 25, 'Senate House': 506}",0,2317,640,1043
